"id_arbol","direccion","tipo_vereda","lado_vereda","especie","tipo_tendido","distancia_entre_ar","distancia_al_muro","activo","lng","lat"
8860,Pje. Mantilla 385,Plazoleta,Par,Ñangapirí,Alta tensión (Con Protección),0.0,0.0,true,-58.8356023301950017,-27.4615248828799992
8861,Caa guazú,Plaza,Impar,Tipa,Media Tensión (Con Protección),15.0,0.0,true,-58.8287966380749978,-27.4586068470519997
8862,Caa guazú,Plaza,Impar,Lapacho,Media Tensión (Con Protección),7.0,0.0,true,-58.8289653407310027,-27.4587025788259993
8863,Caa guazú,Plaza,Impar,Ibirá Pitá,Media Tensión (Con Protección),7.0,0.0,true,-58.8290468563049984,-27.4587393458640001
8864,Caa guazú,Plaza,Impar,Tipa,Media Tensión (Con Protección),4.0,0.0,true,-58.828998363177007,-27.4587551586050012
8865,Caa guazú,Plaza,Impar,Lapacho,Media Tensión (Con Protección),20.0,0.0,true,-58.8292419574030063,-27.4588291988529996
8866,Caa guazú,Plaza,Impar,Pino,Alta tensión (Con Protección),7.0,0.0,true,-58.829453884597001,-27.4589777419299992
8867,Caa guazú,Plaza,Impar,Pino,Media Tensión (Con Protección),5.0,0.0,true,-58.8295008349019994,-27.4590213520849993
8868,Pje. Mantilla 385,Plazoleta,Par,Lapacho,Alta tensión (Con Protección),0.0,0.0,true,-58.8355029092450081,-27.4614902697570002
8869,Pje. Mantilla 385,Plazoleta,Impar,Ibirá Pitá,Alta tensión (Con Protección),0.0,0.0,true,-58.8357706119680017,-27.4618822247990018
8870,Pje. Mantilla 385,Plazoleta,Impar,Guayaba,Alta tensión (Con Protección),0.0,0.0,true,-58.8357822415250027,-27.4618937407730002
8871,Pje. Mantilla 385,Plazoleta,Impar,Citricos,Alta tensión (Con Protección),0.0,0.0,true,-58.835769635969001,-27.4618936005000016
8872,Placido Martinez 1131,Plazoleta,Impar,Jazmín magno,Alta tensión (Con Protección),0.0,1.0,true,-58.8358452481719993,-27.4619409610860004
8873,Placido Martínez 1145,Plazoleta,Impar,Mango,Alta tensión (Con Protección),0.0,0.0,true,-58.8356438048939907,-27.4619738968650005
8874,Placido Martínez 1119,Grande,Impar,Chivato,Alta tensión (Con Protección),6.5,5.0,true,-58.8360465743380061,-27.461962271849
8875,Placido Martínez 1119,Grande,Impar,Chivato,Alta tensión (Con Protección),6.5,5.0,true,-58.8360904197510095,-27.4619418127270016
8876,Placido Martínez  y Av. Italia,Grande,Impar,Chivato,Alta tensión (Con Protección),6.5,5.0,true,-58.8361376392710014,-27.4619445728160017
8877,Av. Italia 385,Mediana,Impar,Ibirá Pitá,Alta tensión (Con Protección),0.0,2.0,true,-58.8361428164550091,-27.4617229288750018
8878,PLAZA JUAN DE DIOS,Plaza,Par,Timbó Blanco,Alta tensión (Con Protección),5.0,6.0,true,-58.7679088262179974,-27.4573384396279998
8879,PLAZA JUAN DE DIOS,Plazoleta,Par,Timbó Blanco,Alta tensión (Con Protección),5.0,6.0,true,-58.7680815192990025,-27.4573151143859988
8880,PLAZA JUAN DE DIOS,Plazoleta,Par,Timbó Colorado,Alta tensión (Con Protección),5.0,6.0,true,-58.7681634767359995,-27.4573155601010015
8881,PLAZA JUAN DE DIOS,Chica,Par,Timbó Blanco,Alta tensión (Con Protección),5.0,6.0,true,-58.7682092336269974,-27.4574316758600006
8882,PLAZA JUAN DE DIOS,Plazoleta,Par,Timbó Colorado,Alta tensión (Con Protección),5.0,6.0,true,-58.768205829769002,-27.4574431626570004
8883,PLAZA JUAN DE DIOS,Chica,Par,Timbó Blanco,Alta tensión (Con Protección),5.0,6.0,true,-58.7682634566190032,-27.4574105455080009
8884,PLAZA JUAN DE DIOS,Plazoleta,Par,Jacarandá,Alta tensión (Con Protección),5.0,6.0,true,-58.7682740514600042,-27.4575113163200015
8885,PLAZA JUAN DE DIOS,Plaza,Par,Jacarandá,Alta tensión (Con Protección),5.0,6.0,true,-58.7683308821919965,-27.4574785422929999
8886,PLAZA JUAN DE DIOS,Plaza,Par,Ingá,Alta tensión (Con Protección),5.0,6.0,true,-58.7683497382050035,-27.457461609768
8887,PLAZA JUAN DE DIOS,Plaza,Par,Jacarandá,Alta tensión (Con Protección),5.0,6.0,true,-58.768182262249006,-27.4573125774089988
8888,PLAZA JUAN DE DIOS,Plaza,Par,Crespón,Alta tensión (Con Protección),5.0,6.0,true,-58.7683515643020016,-27.4575094080940012
